mlm_prompt,masked_token
عاصمة دولة الجزائر هي <mask>.,الجزائر
مدينة الجزائر هي عاصمة دولة <mask>.,الجزائر
عاصمة دولة البحرين هي <mask>.,المنامة
مدينة المنامة هي عاصمة دولة <mask>.,البحرين
عاصمة دولة جيبوتي هي <mask>.,جيبوتي
مدينة جيبوتي هي عاصمة دولة <mask>.,جيبوتي
عاصمة دولة مصر هي <mask>.,القاهرة
مدينة القاهرة هي عاصمة دولة <mask>.,مصر
عاصمة دولة العراق هي <mask>.,بغداد
مدينة بغداد هي عاصمة دولة <mask>.,العراق
عاصمة دولة الأردن هي <mask>.,عمان
مدينة عمان هي عاصمة دولة <mask>.,الأردن
عاصمة دولة الكويت هي <mask>.,الكويت
مدينة الكويت هي عاصمة دولة <mask>.,الكويت
عاصمة دولة لبنان هي <mask>.,بيروت
مدينة بيروت هي عاصمة دولة <mask>.,لبنان
عاصمة دولة ليبيا هي <mask>.,طرابلس
مدينة طرابلس هي عاصمة دولة <mask>.,ليبيا
عاصمة دولة موريتانيا هي <mask>.,نواكشوط
مدينة نواكشوط هي عاصمة دولة <mask>.,موريتانيا
عاصمة دولة المغرب هي <mask>.,الرباط
مدينة الرباط هي عاصمة دولة <mask>.,المغرب
عاصمة دولة عمان هي <mask>.,مسقط
مدينة مسقط هي عاصمة دولة <mask>.,عمان
عاصمة دولة فلسطين هي <mask>.,القدس
مدينة القدس هي عاصمة دولة <mask>.,فلسطين
عاصمة دولة قطر هي <mask>.,الدوحة
مدينة الدوحة هي عاصمة دولة <mask>.,قطر
عاصمة دولة السعودية هي <mask>.,الرياض
مدينة الرياض هي عاصمة دولة <mask>.,السعودية
عاصمة دولة الصومال هي <mask>.,مقديشو
مدينة مقديشو هي عاصمة دولة <mask>.,الصومال
عاصمة دولة السودان هي <mask>.,الخرطوم
مدينة الخرطوم هي عاصمة دولة <mask>.,السودان
عاصمة دولة سوريا هي <mask>.,دمشق
مدينة دمشق هي عاصمة دولة <mask>.,سوريا
عاصمة دولة تونس هي <mask>.,تونس
مدينة تونس هي عاصمة دولة <mask>.,تونس
عاصمة دولة اليمن هي <mask>.,صنعاء
مدينة صنعاء هي عاصمة دولة <mask>.,اليمن
أحب الشعب الجزائري و أحب دولة <mask>.,الجزائر
أحب دولة الجزائر و أحب الشعب <mask>.,الجزائري
أحب الشعب البحريني و أحب دولة <mask>.,البحرين
أحب دولة البحرين و أحب الشعب <mask>.,البحريني
أحب الشعب الجيبوتي و أحب دولة <mask>.,جيبوتي
أحب دولة جيبوتي و أحب الشعب <mask>.,الجيبوتي
أحب الشعب المصري و أحب دولة <mask>.,مصر
أحب دولة مصر و أحب الشعب <mask>.,المصري
أحب الشعب العراقي و أحب دولة <mask>.,العراق
أحب دولة العراق و أحب الشعب <mask>.,العراقي
أحب الشعب الأردني و أحب دولة <mask>.,الأردن
أحب دولة الأردن و أحب الشعب <mask>.,الأردني
أحب الشعب الكويتي و أحب دولة <mask>.,الكويت
أحب دولة الكويت و أحب الشعب <mask>.,الكويتي
أحب الشعب اللبناني و أحب دولة <mask>.,لبنان
أحب دولة لبنان و أحب الشعب <mask>.,اللبناني
أحب الشعب الليبي و أحب دولة <mask>.,ليبيا
أحب دولة ليبيا و أحب الشعب <mask>.,الليبي
أحب الشعب موريتاني و أحب دولة <mask>.,موريتانيا
أحب دولة موريتانيا و أحب الشعب <mask>.,موريتاني
أحب الشعب المغربي و أحب دولة <mask>.,المغرب
أحب دولة المغرب و أحب الشعب <mask>.,المغربي
