mlm_prompt,masked_token
الدينار هي عملة دولة <mask>.,الجزائر
عملة دولة الجزائر هي <mask>.,الدينار
الدينار هي عملة دولة <mask>.,البحرين
عملة دولة البحرين هي <mask>.,الدينار
الفرنك هي عملة دولة <mask>.,جيبوتي
عملة دولة جيبوتي هي <mask>.,الفرنك
الجنيه هي عملة دولة <mask>.,مصر
عملة دولة مصر هي <mask>.,الجنيه
الدينار هي عملة دولة <mask>.,العراق
عملة دولة العراق هي <mask>.,الدينار
الدينار هي عملة دولة <mask>.,الأردن
عملة دولة الأردن هي <mask>.,الدينار
الدينار هي عملة دولة <mask>.,الكويت
عملة دولة الكويت هي <mask>.,الدينار
الجنيه هي عملة دولة <mask>.,لبنان
عملة دولة لبنان هي <mask>.,الجنيه
الدينار هي عملة دولة <mask>.,ليبيا
عملة دولة ليبيا هي <mask>.,الدينار
الأوقية هي عملة دولة <mask>.,موريتانيا
عملة دولة موريتانيا هي <mask>.,الأوقية
الدرهم هي عملة دولة <mask>.,المغرب
عملة دولة المغرب هي <mask>.,الدرهم
الريال هي عملة دولة <mask>.,عمان
عملة دولة عمان هي <mask>.,الريال
الجنيه هي عملة دولة <mask>.,فلسطين
عملة دولة فلسطين هي <mask>.,الجنيه
الريال هي عملة دولة <mask>.,قطر
عملة دولة قطر هي <mask>.,الريال
الريال هي عملة دولة <mask>.,السعودية
عملة دولة السعودية هي <mask>.,الريال
الشلن هي عملة دولة <mask>.,الصومال
عملة دولة الصومال هي <mask>.,الشلن
الجنيه هي عملة دولة <mask>.,السودان
عملة دولة السودان هي <mask>.,الجنيه
الجنيه هي عملة دولة <mask>.,سوريا
عملة دولة سوريا هي <mask>.,الجنيه
الدينار هي عملة دولة <mask>.,تونس
عملة دولة تونس هي <mask>.,الدينار
الريال هي عملة دولة <mask>.,اليمن
عملة دولة اليمن هي <mask>.,الريال
