mlm_prompt,masked_token
تقع دولة الجزائر في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,الجزائر
تقع دولة البحرين في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,البحرين
تقع دولة جيبوتي في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,جيبوتي
تقع دولة مصر في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,مصر
تقع دولة العراق في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,العراق
تقع دولة الأردن في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,الأردن
تقع دولة الكويت في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,الكويت
تقع دولة لبنان في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,لبنان
تقع دولة ليبيا في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,ليبيا
تقع دولة موريتانيا في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,موريتانيا
تقع دولة المغرب في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,المغرب
تقع دولة عمان في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,عمان
تقع دولة فلسطين في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,فلسطين
تقع دولة قطر في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,قطر
تقع دولة السعودية في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,السعودية
تقع دولة الصومال في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,الصومال
تقع دولة السودان في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,السودان
تقع دولة سوريا في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,سوريا
تقع دولة تونس في قارة <mask>.,أفريقيا
في قارة أفريقيا تقع دولة <mask>.,تونس
تقع دولة اليمن في قارة <mask>.,آسيا
في قارة آسيا تقع دولة <mask>.,اليمن
